CSCI2270 IG  ,04/18/19,4,16.15,120,1,
WRTG1250 JS  ,04/17/19,3,12.00,120,1,
CSCI2824 HW11,04/19/19,5,12.00,180,1,
PSYC3456 DQs ,04/15/19,1,18.00,400,1,
WRTG1250 Q10 ,04/15/19,1,11.00,030,1,
Build S.W.S. ,12/31/19,0,23.59,090,0,
Clean Car    ,04/20/19,6,14.00,060,0,
CSCI_Proj    ,04/20/19,6,23.00,405,1,
PSYC_Read1   ,04/17/19,3,18.00,135,1,
PSYC_Read2   ,04/17/19,3,18.00,150,1,
PSYC_Read3   ,04/19/19,5,18.00,165,1,
Groceries    ,04/19/19,5,18.00,120,1,
Clean Apt    ,04/19/19,6,20.00,180,0,
Fix Door     ,12/31/19,0,23.59,120,0,
Study CSCI   ,12/31/19,0,23.59,180,0,
